name,first_name,last_name,price,above_100
William Garcia,William,Garcia,258.1809089,True
Barbara Freeman,Barbara,Freeman,141.890534,True
Rebecca Zimmerman,Rebecca,Zimmerman,293.373272,True
Patricia Velasquez,Patricia,Velasquez,249.9479246,True
Ronnie Clark,Ronnie,Clark,272.908659,True
Timothy Rose,Timothy,Rose,65.74326968,False
Joshua Ramirez,Joshua,Ramirez,64.54997394,False
Joseph Dawson,Joseph,Dawson,111.0171384,True
Robert Rios,Robert,Rios,87.31797988,False
Karen Mitchell,Karen,Mitchell,277.2511543,True
Patrick Greene,Patrick,Greene,7.259436115,False
Matthew Nelson,Matthew,Nelson,295.3146887,True
Melissa Smith,Melissa,Smith,70.04282129,False
Amy Johnson,Amy,Johnson,78.26892103,False
Edgar Ellis,Edgar,Ellis,208.6777041,True
Olivia Rivera,Olivia,Rivera,104.8094951,True
Kelly Leblanc MD,Kelly,Leblanc MD,40.20849552,False
Jennifer Anderson,Jennifer,Anderson,17.90633335,False
Tammy Clark,Tammy,Clark,125.0672217,True
Jennifer Marquez,Jennifer,Marquez,21.63604687,False
Cory Silva,Cory,Silva,36.24541189,False
Mackenzie Moon,Mackenzie,Moon,264.9268902,True
Larry Wade,Larry,Wade,126.3049676,True
Diana Shaffer,Diana,Shaffer,37.50406255,False
Stephen Smith,Stephen,Smith,168.1895294,True
Kendra White,Kendra,White,265.1085587,True
Lindsey Williamson,Lindsey,Williamson,280.3953974,True
Wanda Hale,Wanda,Hale,106.0997985,True
Jillian Davies DDS,Jillian,Davies DDS,10.64366962,False
Douglas Thomas,Douglas,Thomas,119.0382607,True
Jennifer Davis,Jennifer,Davis,153.0526538,True
George Holmes,George,Holmes,44.38614111,False
Marissa Webster,Marissa,Webster,105.4378241,True
Anna Boyle,Anna,Boyle,80.47552199,False
Paul Gillespie,Paul,Gillespie,174.6815735,True
Autumn Johnston,Autumn,Johnston,132.780344,True
Tracey Norton DDS,Tracey,Norton DDS,118.0225331,True
Amy Flynn,Amy,Flynn,128.6739798,True
Melissa Davis,Melissa,Davis,72.58977535,False
Vincent Mitchell,Vincent,Mitchell,78.43990466,False
Gregory Martin,Gregory,Martin,144.6915752,True
Robert Coffey,Robert,Coffey,117.3205633,True
Melissa Montgomery,Melissa,Montgomery,101.4845534,True
Krystal Cunningham,Krystal,Cunningham,296.536062,True
Scott Lee,Scott,Lee,163.4878508,True
James Murray,James,Murray,28.59025756,False
Hunter Stokes,Hunter,Stokes,3.582742282,False
Jasmine Austin,Jasmine,Austin,33.90382995,False
Grant Summers,Grant,Summers,51.78034157,False
Sarah Spencer DDS,Sarah,Spencer DDS,271.6023676,True
Brianna Lewis,Brianna,Lewis,192.617676,True
Rhonda Martin DVM,Rhonda,Martin DVM,145.6455553,True
Dennis Lawrence,Dennis,Lawrence,161.3584294,True
Michael Stewart,Michael,Stewart,245.4400987,True
William Wilkins,William,Wilkins,22.90555849,False
Rebecca Jimenez,Rebecca,Jimenez,142.590737,True
Kathleen Roman,Kathleen,Roman,15.10135967,False
Billy Smith,Billy,Smith,22.53181535,False
Nicole James,Nicole,James,101.913846,True
Allison Holt,Allison,Holt,12.7990102,False
Amanda Johnson,Amanda,Johnson,19.17461281,False
Michael Spencer,Michael,Spencer,171.890946,True
Brandi King,Brandi,King,30.05366744,False
Alexander King,Alexander,King,23.47063099,False
Nicole Sampson,Nicole,Sampson,207.6385148,True
Savannah Bell,Savannah,Bell,22.05563858,False
Jessica Harris MD,Jessica,Harris MD,103.7031099,True
Lauren Gallagher,Lauren,Gallagher,266.215602,True
Jack Townsend,Jack,Townsend,93.27791862,False
Jamie Nguyen,Jamie,Nguyen,228.9953328,True
Ann Price,Ann,Price,266.323001,True
Michael Rodriguez,Michael,Rodriguez,224.0452951,True
Heather Davidson,Heather,Davidson,219.8337855,True
Marie Green,Marie,Green,146.6406753,True
Lori Tapia,Lori,Tapia,147.3422789,True
Kayla Alvarado,Kayla,Alvarado,127.2410425,True
Susan Crosby,Susan,Crosby,200.3652912,True
Nathan Harris,Nathan,Harris,163.8731027,True
Michael Daniel,Michael,Daniel,4.582288435,False
Ashley Jones,Ashley,Jones,53.14943439,False
John Wright,John,Wright,91.35592502,False
Melissa Jordan,Melissa,Jordan,294.2154133,True
Carrie Jackson,Carrie,Jackson,232.6768105,True
Rebecca Anderson,Rebecca,Anderson,183.1702424,True
Paul Powell,Paul,Powell,105.1162169,True
Shawn Baxter,Shawn,Baxter,81.03527984,False
Sarah Wright,Sarah,Wright,141.0101793,True
Kimberly Romero,Kimberly,Romero,235.624084,True
Matthew Washington,Matthew,Washington,186.5044837,True
Kirk Hayden,Kirk,Hayden,148.2501795,True
Traci Kelley,Traci,Kelley,41.56298339,False
Isabella Chen,Isabella,Chen,129.6921072,True
Melanie Salazar,Melanie,Salazar,292.8461055,True
Stephanie Lewis,Stephanie,Lewis,76.43122945,False
Christopher Hensley,Christopher,Hensley,249.1556558,True
Terry Vincent,Terry,Vincent,242.9859001,True
Jason Alvarado,Jason,Alvarado,95.92027624,False
Michelle Evans,Michelle,Evans,257.2373034,True
Dennis Benitez,Dennis,Benitez,87.11980487,False
Troy Garcia,Troy,Garcia,181.4054634,True
Albert Davila,Albert,Davila,113.2109822,True
Candice Rivera,Candice,Rivera,42.88132073,False
Cole Edwards,Cole,Edwards,244.0779245,True
Danielle Johnson,Danielle,Johnson,31.63041433,False
Justin Ramirez,Justin,Ramirez,146.3464935,True
Elizabeth Griffith,Elizabeth,Griffith,205.7783782,True
Kristin Clay,Kristin,Clay,260.3474682,True
Joseph White,Joseph,White,65.20753493,False
Marissa Holmes,Marissa,Holmes,59.40240228,False
Michelle Hamilton,Michelle,Hamilton,91.62237167,False
Christopher Alvarez,Christopher,Alvarez,126.025264,True
Craig Hogan,Craig,Hogan,136.7126938,True
Melissa Castillo,Melissa,Castillo,281.1608076,True
Maria Williams,Maria,Williams,10.21292614,False
Vanessa Thomas,Vanessa,Thomas,20.58084145,False
Gary Obrien,Gary,Obrien,53.39582051,False
Melissa Holt,Melissa,Holt,252.2818438,True
Eric Valenzuela,Eric,Valenzuela,176.52775,True
Anthony Hardy,Anthony,Hardy,4.902725495,False
Karen Johnson,Karen,Johnson,49.41029242,False
Richard Hunt,Richard,Hunt,249.7511997,True
Karen Robertson,Karen,Robertson,1.710967532,False
Adam Jones,Adam,Jones,56.93252133,False
Jonathan Fuller,Jonathan,Fuller,14.71921636,False
